시간,주가,순간거래량,체결강도
09:00:04,84800,0,144.36
09:01:22,85000,478917,130.94
09:02:42,85200,408369,125.72
09:04:05,85300,233393,131.0
09:04:48,85100,0,133.09
09:06:55,85200,241822,129.8
09:09:03,85200,347649,136.27
09:11:10,85200,283540,138.0
09:13:15,84900,309304,141.39
09:15:22,85100,193532,140.01
09:17:32,85000,34015,138.91
09:19:38,85100,214221,135.63
09:21:44,85050,29279,136.08
09:23:50,84900,291811,131.88
09:25:56,85000,139358,129.88
09:28:00,84900,205446,126.74
09:30:05,84900,189287,124.64
09:32:10,85000,55614,123.41
09:34:15,85000,192125,122.01
09:36:30,85000,29833,121.84
09:38:38,84800,128758,120.5
09:40:45,84900,30810,120.52
09:42:52,84850,24277,120.1
09:44:58,85100,209464,117.92
09:47:12,85000,27596,118.09
09:49:26,84900,108233,118.19
09:51:30,85000,52662,117.43
09:53:33,84950,52131,117.21
09:55:35,84900,44588,117.7
09:57:39,84900,52210,117.68
09:59:41,84900,109023,116.19
10:01:50,85000,35571,116.28
10:04:01,85000,28340,116.18
10:06:12,85000,33005,116.35
10:08:15,85000,35146,116.47
10:10:19,85100,553823,113.58
10:12:23,85150,38416,114.55
10:14:27,85150,28844,114.45
10:16:31,85200,28184,114.57
10:18:41,85200,41242,114.52
10:20:54,85200,32493,114.2
10:22:58,85150,31870,114.52
10:25:01,85150,49404,114.35
10:27:05,85200,89614,114.54
10:29:09,85200,60690,113.61
10:31:17,85300,373058,114.27
10:33:27,85300,236908,111.75
10:35:32,85300,49377,111.34
10:37:37,85250,26930,111.03
10:39:41,85500,387032,111.05
10:41:52,85400,136264,112.88
10:44:05,85500,226427,111.67
10:46:11,85600,493212,110.79
10:48:16,85800,474317,109.99
10:50:19,85800,59603,109.11
10:52:28,85750,129443,108.48
10:54:34,85900,208567,108.41
10:56:37,85900,392132,108.09
10:58:40,85900,42826,110.37
11:00:52,85750,113128,109.56
11:03:00,85700,204758,108.97
11:05:12,85650,28359,109.86
11:07:15,85700,307308,110.64
11:09:30,85600,78797,110.91
11:11:36,85600,51733,111.07
11:13:44,85650,63735,111.13
11:15:49,85700,194750,109.24
11:18:04,85700,186135,108.93
11:20:09,85850,83696,109.16
11:22:14,85850,57637,109.65
11:24:34,85850,119525,109.09
11:26:46,85800,29903,109.17
11:29:00,85800,26182,108.92
11:31:07,85800,30057,108.88
11:33:18,85800,161564,108.39
11:35:23,85800,17550,107.96
11:37:27,85750,18542,107.85
11:39:36,85700,19281,107.84
11:41:38,85750,31382,107.81
11:43:42,85750,26844,107.56
11:45:54,85700,21935,107.63
11:47:58,85700,30116,107.73
11:50:05,85750,32490,107.69
11:52:14,85800,19858,107.6
11:54:18,85700,21727,107.69
11:56:27,85800,33096,107.6
11:58:32,85800,25517,107.43
12:00:39,85800,26145,107.35
12:02:57,85750,33089,107.3
12:05:02,85750,202107,105.87
12:07:12,85700,14106,105.84
12:09:21,85700,22670,105.82
12:11:27,85800,24155,105.84
12:13:42,85700,59174,105.8
12:15:49,85700,162847,104.02
12:18:02,85800,19333,103.98
12:20:11,85700,51097,103.76
12:22:21,85650,20783,103.73
12:24:35,85700,19220,103.62
12:26:41,85700,13790,103.61
12:28:58,85700,95391,104.06
12:31:04,85700,27766,103.96
12:33:19,85700,32489,103.89
12:35:26,85750,139199,103.6
12:37:38,85700,106163,103.25
12:39:45,85650,33680,103.17
12:41:54,85750,71133,102.74
12:44:03,85800,88410,102.45
12:46:14,85700,25843,102.34
12:48:30,85700,17793,102.38
12:50:39,85800,20487,102.48
12:52:52,85700,19361,102.65
12:55:02,85800,25616,102.59
12:57:15,85800,19403,102.55
12:59:24,85750,22802,102.49
13:01:39,85800,28939,102.41
13:03:49,85850,282989,102.72
13:06:00,85800,115839,102.92
13:08:10,85800,108489,102.15
13:10:17,85800,71901,102.45
13:12:28,85900,379495,102.16
13:14:34,85900,181684,101.36
13:16:49,85900,50762,101.24
13:18:54,85900,150244,100.75
13:21:07,85800,49200,100.5
13:23:16,85800,39546,100.59
13:25:25,85800,22405,100.64
13:27:38,85850,34768,100.64
13:29:45,85900,33743,100.58
13:32:07,85900,32113,100.69
13:34:23,85850,28729,100.75
13:36:36,85850,35109,100.67
13:38:54,85850,52810,100.54
13:41:05,85900,435705,102.08
13:43:21,85900,76908,102.56
13:45:36,85900,66125,102.57
13:47:47,85900,76368,102.21
13:50:05,86000,47281,102.15
13:52:18,86000,65692,102.46
13:54:30,86050,795159,102.32
13:56:50,86000,116280,104.27
13:59:05,86000,23352,104.0
14:01:19,86100,188687,103.82
14:03:41,86100,54845,103.73
14:05:56,86100,51144,103.95
14:08:08,86100,53127,104.18
14:10:29,86050,50055,104.27
14:12:44,86100,72290,104.46
14:14:59,86000,173423,103.76
14:17:13,86000,40582,103.62
14:19:27,86000,31020,103.41
14:21:36,86000,40955,103.49
14:23:46,85900,67247,103.51
14:26:01,86000,42260,103.55
14:28:20,85950,89557,104.1
14:30:33,85900,116436,103.44
14:32:49,85800,28746,103.43
14:35:08,86000,149191,103.47
14:37:21,85900,52686,103.97
14:39:31,86000,29170,103.89
14:41:44,85950,50700,104.05
14:43:57,85900,59543,104.32
14:46:12,85950,116867,104.5
14:48:22,85950,87374,104.61
14:50:34,85900,64125,104.41
14:52:50,85950,55084,104.34
14:55:06,85900,63396,104.08
14:57:19,85900,85408,103.91
14:59:32,85900,84517,103.48
15:01:45,86000,161488,103.39
15:03:59,86000,62552,103.77
15:06:17,85900,42730,103.59
15:08:32,86000,80382,103.65
15:10:44,86050,422656,103.73
15:12:56,86100,157001,104.14
15:15:08,86000,472603,105.77
15:17:20,86000,242740,105.31
15:19:34,86000,78973,105.75
15:21:52,86000,0,105.8
15:24:07,86000,0,105.8
15:26:22,86000,0,105.8
15:28:34,86000,0,105.8
