시간,주가,순간거래량,체결강도
09:00:04,76200,0,111.82
09:01:22,76100,2419,96.23
09:02:42,76000,4913,98.74
09:04:05,76000,594,96.9
09:04:48,76000,0,93.5
09:06:55,76100,1378,102.46
09:09:03,76000,2003,102.43
09:11:10,76000,950,102.81
09:13:15,75800,5701,99.75
09:15:22,75800,2250,106.21
09:17:32,75800,1430,106.09
09:19:38,75800,647,107.05
09:21:44,75700,1471,108.62
09:23:50,75700,4369,100.92
09:25:56,75600,648,101.03
09:28:00,75600,1817,100.22
09:30:05,75600,882,98.49
09:32:10,75500,2390,97.22
09:34:15,75500,439,95.73
09:36:30,75600,279,94.99
09:38:38,75500,496,94.99
09:40:45,75600,681,95.63
09:42:52,75400,4007,90.27
09:44:58,75400,1457,92.93
09:47:12,75400,3443,96.34
09:49:26,75400,366,95.57
09:51:30,75300,6653,96.34
09:53:33,75300,3202,87.73
09:55:35,75200,1099,86.96
09:57:39,75200,1945,88.11
09:59:41,75200,2749,87.88
10:01:50,75200,627,88.04
10:04:01,75250,545,88.86
10:06:12,75300,696,89.34
10:08:15,75250,859,89.1
10:10:19,75200,580,90.38
10:12:23,75300,674,91.12
10:14:27,75200,605,91.3
10:16:31,75300,3229,91.8
10:18:41,75400,1780,91.14
10:20:54,75300,412,91.54
10:22:58,75300,667,91.75
10:25:01,75300,620,91.81
10:27:05,75400,531,92.24
10:29:09,75200,3009,92.69
10:31:17,75300,2479,92.39
10:33:27,75300,424,92.34
10:35:32,75300,855,92.66
10:37:37,75300,371,92.48
10:39:41,75350,2687,93.44
10:41:52,75300,624,93.61
10:44:05,75300,490,93.65
10:46:11,75500,2569,94.35
10:48:16,75450,1968,91.32
10:50:19,75400,804,91.44
10:52:28,75400,717,91.83
10:54:34,75400,551,91.49
10:56:37,75500,546,91.78
10:58:40,75300,1369,91.35
11:00:52,75400,427,91.2
11:03:00,75300,376,91.22
11:05:12,75400,701,91.52
11:07:15,75400,858,91.41
11:09:30,75400,687,92.16
11:11:36,75400,880,92.14
11:13:44,75300,2876,91.72
11:15:49,75300,1391,92.63
11:18:04,75300,762,92.78
11:20:09,75300,258,92.94
11:22:14,75200,893,93.42
11:24:34,75200,1469,94.24
11:26:46,75200,865,93.66
11:29:00,75200,851,93.67
11:31:07,75300,4411,93.76
11:33:18,75200,1314,98.57
11:35:23,75200,3695,99.29
11:37:27,75200,3556,99.49
11:39:36,75200,2101,99.35
11:41:38,75200,703,99.14
11:43:42,75200,657,99.43
11:45:54,75200,611,99.64
11:47:58,75300,494,99.68
11:50:05,75200,558,100.1
11:52:14,75200,767,99.86
11:54:18,75100,1306,99.84
11:56:27,75200,1627,101.53
11:58:32,75200,934,101.36
12:00:39,75200,1183,101.66
12:02:57,75100,458,102.14
12:05:02,75200,1408,102.31
12:07:12,75100,598,103.35
12:09:21,75100,642,103.38
12:11:27,75100,1009,104.11
12:13:42,75100,794,104.28
12:15:49,75100,455,104.86
12:18:02,75200,728,105.52
12:20:11,75100,1438,105.47
12:22:21,75200,650,105.84
12:24:35,75200,539,106.18
12:26:41,75100,1329,106.01
12:28:58,75200,481,106.16
12:31:04,75100,682,106.24
12:33:19,75200,2188,106.15
12:35:26,75200,1944,106.64
12:37:38,75100,744,107.67
12:39:45,75100,390,107.5
12:41:54,75200,1818,105.9
12:44:03,75100,4031,104.41
12:46:14,75100,934,104.63
12:48:30,75100,771,104.73
12:50:39,75100,3737,105.98
12:52:52,75100,2638,105.99
12:55:02,75100,593,106.12
12:57:15,75100,399,106.2
12:59:24,75200,619,106.08
13:01:39,75100,672,106.26
13:03:49,75200,850,106.64
13:06:00,75100,1394,106.59
13:08:10,75100,764,106.74
13:10:17,75200,697,107.4
13:12:28,75100,389,107.45
13:14:34,75100,781,107.67
13:16:49,75100,1351,107.15
13:18:54,75100,1332,106.42
13:21:07,75100,844,106.4
13:23:16,75100,1695,106.7
13:25:25,75200,953,107.32
13:27:38,75100,1157,107.43
13:29:45,75100,1257,107.08
13:32:07,75200,615,107.23
13:34:23,75100,780,107.39
13:36:36,75100,1037,107.12
13:38:54,75100,995,107.27
13:41:05,75100,1360,107.39
13:43:21,75200,1472,107.93
13:45:36,75100,817,108.13
13:47:47,75200,1083,108.7
13:50:05,75100,1316,109.13
13:52:18,75100,1304,109.09
13:54:30,75100,2234,109.87
13:56:50,75100,1008,109.86
13:59:05,75100,703,109.86
14:01:19,75100,1833,109.5
14:03:41,75100,3808,108.49
14:05:56,75100,1701,108.18
14:08:08,75200,2372,107.91
14:10:29,75100,1015,108.55
14:12:44,75100,1067,108.79
14:14:59,75100,1102,108.83
14:17:13,75100,966,108.57
14:19:27,75100,967,108.68
14:21:36,75100,930,108.59
14:23:46,75100,872,108.43
14:26:01,75000,3917,109.16
14:28:20,75000,6182,109.42
14:30:33,75000,3893,110.71
14:32:49,75000,4640,113.84
14:35:08,75100,3617,113.36
14:37:21,75100,1410,113.2
14:39:31,75100,3158,112.23
14:41:44,75000,1226,112.18
14:43:57,75000,1308,112.12
14:46:12,75000,1379,112.05
14:48:22,75000,1662,112.02
14:50:34,75000,1942,111.72
14:52:50,75000,3146,111.53
14:55:06,75000,1288,111.15
14:57:19,75000,1359,110.61
14:59:32,75000,2460,110.17
15:01:45,75100,2968,108.49
15:03:59,75000,1360,108.2
15:06:17,75000,1329,107.7
15:08:32,75100,1369,107.55
15:10:44,75000,2207,107.0
15:12:56,75100,3107,106.98
15:15:08,75100,5277,105.73
15:17:20,75100,4517,103.63
15:19:34,75000,8385,101.23
15:21:52,75000,0,101.23
15:24:07,75000,0,101.23
15:26:22,75000,0,101.23
15:28:34,75000,0,101.23
