시간,주가,순간거래량,체결강도
09:00:02,76200,0,70.92
09:02:07,76100,8972,82.62
09:04:13,76200,5784,88.27
09:06:17,76100,8531,99.42
09:08:24,76100,1270,100.98
09:10:28,76100,4272,104.07
09:12:33,76000,4738,107.92
09:14:40,76100,6670,107.9
09:16:47,76050,1293,110.63
09:18:55,76000,2159,112.8
09:21:00,75900,14919,107.23
09:23:06,75800,7728,104.58
09:25:13,75600,7917,103.36
09:27:11,75700,3474,105.91
09:29:09,75600,4458,107.01
09:31:08,75600,4279,106.41
09:33:06,75600,3213,109.7
09:35:03,75600,1997,110.18
09:37:01,75600,5529,110.22
09:38:57,75600,2612,110.49
09:41:03,75500,2425,109.34
09:43:02,75600,3363,108.83
09:45:02,75500,2358,107.63
09:46:58,75500,4397,109.7
09:48:55,75500,1413,110.72
09:50:51,75600,3207,113.47
09:52:47,75500,1159,114.67
09:54:44,75500,6462,115.11
10:00:59,75200,24342,113.24
10:03:15,75200,31161,98.62
10:05:23,75400,5596,99.55
10:07:26,75100,8689,100.01
10:09:28,75100,3183,100.91
10:11:29,75100,325,100.68
10:13:32,75200,2205,100.7
10:15:36,75300,20042,98.09
10:17:44,75300,423,97.8
10:19:46,75400,743,97.96
10:21:47,75500,3335,97.36
10:23:49,75500,1701,97.86
10:25:50,75500,3168,98.31
10:27:58,75400,1112,98.09
10:30:00,75400,821,98.21
10:32:02,75400,532,98.34
10:34:04,75500,170,98.27
10:36:05,75600,7361,96.26
10:38:13,75500,740,96.31
10:40:17,75600,284,96.33
10:42:18,75300,5738,95.33
10:44:21,75300,621,95.34
10:46:25,75500,6207,94.58
10:48:40,75500,3284,95.48
10:50:40,75500,819,95.36
10:52:38,75500,1063,95.57
10:54:37,75600,579,95.68
10:56:55,75500,2483,94.91
10:59:03,75500,507,94.8
11:01:12,75500,1029,94.89
11:03:23,75500,1345,95.05
11:05:37,75500,970,95.32
11:07:44,75600,4979,95.1
11:09:52,75900,6806,95.62
11:11:58,75900,3244,95.9
11:14:04,76100,4463,95.97
11:16:07,75900,7605,96.36
11:18:19,75900,718,97.28
11:20:30,75800,4939,98.5
11:22:37,75700,1266,98.14
11:24:41,75800,610,98.16
11:26:56,75700,400,98.23
11:28:59,75700,326,98.39
11:31:02,75700,2135,98.44
11:33:18,75900,14844,98.35
11:35:21,75800,2082,98.41
11:37:25,75800,2420,98.67
11:39:43,75900,429,98.78
11:41:45,75900,259,98.75
11:43:48,75800,81,98.77
11:45:54,75800,257,98.77
11:48:01,75900,1005,98.75
11:50:04,75900,1308,98.62
11:52:12,75800,1869,98.19
11:54:16,75850,1363,98.16
11:56:29,75800,261,98.19
11:58:32,75900,1083,98.24
12:00:40,75900,712,98.11
12:02:47,75900,1064,98.39
12:04:50,75800,1934,98.02
12:07:03,75800,1337,98.08
12:09:07,75800,253,98.01
12:11:17,75800,796,97.99
12:13:21,75800,9068,97.84
12:15:28,75800,3319,97.81
12:17:36,75800,1379,98.31
12:19:40,75700,175,98.47
12:21:50,75700,327,98.55
12:23:53,75600,6788,97.07
12:26:06,75600,292,97.18
12:28:09,75600,414,97.37
12:30:19,75600,403,97.42
12:32:22,75650,321,97.44
12:34:30,75600,357,97.43
12:36:33,75600,380,97.44
12:38:42,75700,2629,97.72
12:40:48,75700,2509,98.38
12:42:55,75600,218,98.66
12:45:01,75600,5415,99.46
12:47:09,75600,210,99.49
12:49:13,75700,349,99.6
12:51:21,75600,873,99.71
12:53:25,75600,230,99.82
12:55:36,75600,457,99.95
12:57:39,75600,880,100.25
12:59:52,75600,454,100.17
13:01:55,75700,2571,100.21
13:04:05,75600,1144,100.17
13:06:12,75600,960,100.24
13:08:20,75600,1267,100.21
13:10:27,75600,1080,100.15
13:12:33,75600,550,100.18
13:14:43,75600,1131,100.54
13:16:48,75600,1115,100.7
13:19:00,75700,1058,100.8
13:21:08,75600,1849,100.71
13:23:14,75600,436,100.61
13:25:25,75600,1404,100.46
13:27:33,75600,823,100.7
13:29:40,75700,1138,100.95
13:31:52,75700,1143,101.09
13:34:00,75600,2673,101.98
13:36:09,75500,15609,100.02
13:38:20,75400,328,100.09
13:40:25,75500,2210,100.02
13:42:34,75400,763,100.12
13:44:45,75400,762,100.12
13:46:53,75400,680,100.11
13:49:03,75400,6965,99.38
13:51:14,75400,977,99.43
13:53:21,75400,636,99.57
13:55:30,75300,3666,99.5
13:57:42,75300,1031,99.66
13:59:51,75350,721,99.78
14:01:58,75300,1350,99.94
14:04:11,75300,1495,99.98
14:06:22,75300,2672,99.75
14:08:30,75300,1637,99.56
14:10:39,75400,3165,99.14
14:12:52,75400,1456,98.93
14:15:02,75300,13597,97.47
14:17:11,75200,1177,97.5
14:19:22,75200,814,97.57
14:21:36,75300,953,97.58
14:23:46,75300,1081,97.52
14:25:56,75200,16622,94.82
14:28:07,75200,3291,94.82
14:30:20,75200,1514,95.06
14:32:30,75200,1510,94.91
14:34:40,75300,1695,95.12
14:36:49,75200,1239,94.93
14:39:01,75200,909,94.9
14:41:17,75200,1087,94.92
14:43:29,75200,1297,94.9
14:45:45,75300,2477,94.81
14:47:58,75200,2320,94.56
14:50:09,75300,2969,94.38
14:52:22,75000,41997,90.99
14:54:38,75000,3075,91.52
14:56:52,75100,3110,91.71
14:59:04,75100,5089,91.97
15:01:17,75200,75728,89.64
15:03:30,75200,1803,89.45
15:05:41,75200,4672,89.18
15:07:53,75300,4053,88.84
15:10:06,75300,7392,88.19
15:12:22,75200,8672,87.47
15:14:37,75300,3595,86.87
15:16:50,75500,6836,86.31
15:19:01,75600,7753,86.14
15:21:14,75600,0,86.11
15:23:26,75600,0,86.11
15:25:38,75600,0,86.11
15:27:53,75600,0,86.11
