시간,주가,순간거래량,체결강도
09:00:02,207500,0,114.48
09:04:13,209500,1199,112.32
09:06:17,209500,212,111.03
09:08:24,209500,971,111.67
09:10:28,209500,345,109.37
09:12:33,209000,1628,118.85
09:14:40,209000,1313,119.03
09:16:47,208500,427,114.51
09:18:55,207000,576,113.45
09:21:00,207500,1083,110.09
09:23:06,207500,1052,101.77
09:25:13,207000,152,99.13
09:27:11,207500,981,97.48
09:29:09,207000,79,97.28
09:31:08,207000,917,97.62
09:33:06,207000,913,99.73
09:35:03,207500,221,100.88
09:37:01,207000,119,101.05
09:38:57,207000,88,101.54
09:41:03,207000,221,101.68
09:43:02,208000,430,102.1
09:45:02,208000,193,102.88
09:46:58,207000,661,100.93
09:48:55,206500,384,99.98
09:50:51,208000,609,104.72
09:52:47,207250,447,102.93
09:54:44,207000,23,102.79
10:00:59,207000,854,106.07
10:03:15,206500,452,104.86
10:05:23,206500,506,103.94
10:07:26,206500,100,103.56
10:09:28,206000,2543,97.62
10:11:29,205500,57,97.43
10:13:32,205750,102,97.34
10:15:36,207000,1588,102.18
10:17:44,207000,144,102.84
10:19:46,206000,191,102.82
10:21:47,206000,189,102.31
10:23:49,206000,105,102.39
10:25:50,207000,558,103.96
10:27:58,207000,218,104.24
10:30:00,207000,61,104.11
10:32:02,206500,643,104.12
10:34:04,207000,528,103.85
10:36:05,207000,25,103.94
10:38:13,206500,58,104.07
10:40:17,207000,100,104.47
10:42:18,206000,714,103.39
10:44:21,206000,265,103.32
10:46:25,206500,858,103.86
10:48:40,206500,118,103.76
10:50:40,206000,49,103.77
10:52:38,206000,177,103.96
10:54:37,206000,95,103.83
10:56:55,206000,216,104.06
10:59:03,206250,211,103.85
11:01:12,206000,181,103.35
11:03:23,206000,120,103.2
11:05:37,205500,1211,102.14
11:07:44,205500,196,102.44
11:09:52,206000,512,104.34
11:11:58,206000,135,103.95
11:14:04,206000,271,104.27
11:16:07,206000,100,104.35
11:18:19,206000,108,104.43
11:20:30,205500,123,104.55
11:22:37,205500,168,104.47
11:24:41,206000,337,104.93
11:26:56,206000,191,105.49
11:28:59,206000,153,106.19
11:31:02,206000,240,106.63
11:33:18,206500,80,106.8
11:35:21,206000,176,106.92
11:37:25,206500,442,108.03
11:39:43,206000,161,108.42
11:41:45,207500,1630,110.02
11:43:48,207500,518,110.89
11:45:54,207500,849,110.32
11:48:01,209000,1978,110.48
11:50:04,210500,2885,115.28
11:52:12,211500,5468,117.69
11:54:16,210500,2659,118.95
11:56:29,209500,3086,119.16
11:58:32,209000,1644,118.9
12:00:40,210000,1191,119.09
12:02:47,210500,1375,120.16
12:04:50,210250,408,120.2
12:07:03,210000,733,119.32
12:09:07,210500,1195,120.18
12:11:17,210000,4775,123.93
12:13:21,210500,1193,124.51
12:15:28,210000,464,124.53
12:17:36,209500,305,125.01
12:19:40,209500,1286,127.47
12:21:50,209000,668,126.9
12:23:53,208500,319,126.84
12:26:06,208000,97,126.9
12:28:09,208500,41,126.88
12:30:19,208000,111,126.82
12:32:22,208500,106,126.77
12:34:30,209000,1149,126.76
12:36:33,209000,308,126.82
12:38:42,209000,544,126.22
12:40:48,209000,426,125.49
12:42:55,209500,500,125.5
12:45:01,210000,187,126.36
12:47:09,210000,31,126.35
12:49:13,210500,637,126.37
12:51:21,209500,112,126.77
12:53:25,210000,300,127.25
12:55:36,210000,598,127.72
12:57:39,210000,123,127.74
12:59:52,210000,166,127.58
13:01:55,210500,702,128.1
13:04:05,210500,428,127.79
13:06:12,210500,244,127.63
13:08:20,210500,568,127.67
13:10:27,210000,719,127.45
13:12:33,210500,106,126.45
13:14:43,210500,288,126.51
13:16:48,210500,189,126.41
13:19:00,210000,717,126.23
13:21:08,210500,126,125.03
13:23:14,211000,746,124.47
13:25:25,210500,335,124.39
13:27:33,210500,202,124.38
13:29:40,209500,698,123.08
13:31:52,209500,779,124.2
13:34:00,209500,118,124.07
13:36:09,209000,293,124.14
13:38:20,209000,121,123.91
13:40:25,209500,715,123.84
13:42:34,210000,85,123.5
13:44:45,210500,1405,124.06
13:46:53,210000,270,124.39
13:49:03,210500,180,124.2
13:51:14,210000,534,124.47
13:53:21,210000,58,124.43
13:55:30,210500,1386,124.08
13:57:42,210250,830,123.89
13:59:51,210500,396,123.96
14:01:58,210500,437,123.87
14:04:11,210500,674,123.41
14:06:22,210500,967,123.37
14:08:30,210500,45,123.31
14:10:39,209500,1902,123.3
14:12:52,209500,354,119.04
14:15:02,209500,560,119.0
14:17:11,210000,399,119.37
14:19:22,209500,161,119.17
14:21:36,210000,331,118.69
14:23:46,210500,1964,119.85
14:25:56,210500,122,119.66
14:28:07,210500,144,119.64
14:30:20,210000,141,119.6
14:32:30,210500,750,119.89
14:34:40,210500,576,120.11
14:36:49,211000,607,120.14
14:39:01,211000,1947,122.34
14:41:17,211000,758,122.02
14:43:29,211000,406,122.32
14:45:45,210500,1302,121.28
14:47:58,211000,840,121.4
14:50:09,211000,698,121.08
14:52:22,210000,1252,119.95
14:54:38,210500,264,119.71
14:56:52,209500,466,119.43
14:59:04,210000,692,119.46
15:01:17,210000,411,119.01
15:03:30,210500,433,118.69
15:05:41,210000,484,118.2
15:07:53,210000,314,118.07
15:10:06,210000,284,117.89
15:12:22,210000,325,117.78
15:14:37,210000,173,117.71
15:16:50,210000,390,117.68
15:19:01,210000,1455,116.08
15:21:14,210000,103,115.9
15:23:26,210000,0,115.9
15:25:38,210000,0,115.9
15:27:53,210000,0,115.9
