시간,주가,순간거래량,체결강도
09:00:07,76100,0,80.74
09:04:12,76100,13317,81.94
09:06:18,76300,11377,75.08
09:08:24,76300,10646,73.62
09:10:29,76300,6634,74.65
09:12:42,76300,10144,78.98
09:14:52,76400,7013,79.07
09:16:57,76400,6424,81.05
09:19:00,76400,2154,80.73
09:21:03,76500,1162,81.53
09:23:05,76400,11567,81.52
09:25:07,76300,9766,85.58
09:27:09,76300,8702,87.2
09:29:11,76100,6761,86.2
09:31:14,76300,18919,91.29
09:33:16,76300,4486,88.77
09:35:18,76300,1144,88.7
09:37:24,76200,4065,87.47
09:39:26,76200,1671,87.42
09:41:27,76250,674,87.96
09:43:29,76300,7585,87.83
09:45:32,76500,7382,89.46
09:47:43,76500,9894,89.36
09:49:44,76500,7540,91.15
09:51:47,76500,1313,90.8
09:53:49,76500,6157,90.84
09:55:53,76500,10205,93.5
09:57:56,76600,1055,93.19
10:00:03,76600,1312,92.95
10:02:03,76500,11625,92.8
10:04:03,76700,3471,91.09
10:06:14,76600,7947,91.72
10:08:17,76600,4813,92.45
10:10:22,76500,5662,90.86
10:12:21,76500,3235,90.68
10:14:22,76500,1789,90.14
10:16:21,76600,2272,90.12
10:18:23,76600,1078,90.16
10:20:30,76600,1896,90.45
10:22:28,76600,2317,90.14
10:24:26,76500,2118,89.9
10:26:24,76600,2192,89.7
10:28:21,76600,3937,88.97
10:30:26,76700,3651,89.4
10:32:33,76800,2173,89.18
10:34:33,76700,566,89.1
10:36:32,76700,1377,89.03
10:38:38,76800,7363,88.45
10:40:43,76800,3507,86.46
10:42:55,76900,6441,86.61
10:45:06,77000,2537,86.54
10:47:23,76800,6994,86.3
10:49:29,76800,1823,84.72
10:51:42,76900,1447,84.24
10:53:54,76800,584,84.08
10:55:54,76900,3373,83.96
10:58:01,76800,1908,83.95
11:00:09,76800,6295,83.31
11:02:25,76800,2356,82.7
11:04:26,76800,2798,82.34
11:06:33,76800,480,83.14
11:08:40,76800,2279,82.86
11:10:57,76800,917,82.83
11:13:04,76800,499,82.79
11:15:11,76800,2647,82.73
11:17:19,76800,1247,83.1
11:19:32,76700,8734,81.69
11:21:39,76500,6898,81.71
11:23:45,76500,1249,81.42
11:25:58,76700,11743,81.41
11:28:05,76700,6978,83.49
11:30:10,76600,1541,84.74
11:32:17,76800,1864,84.6
11:34:25,76700,898,84.57
11:36:25,76700,784,84.43
11:38:21,76700,372,84.37
11:40:22,76800,1447,84.33
11:42:17,76650,4531,84.46
11:44:18,76600,1177,84.45
11:46:20,76600,336,84.36
11:48:19,76650,787,84.49
11:50:15,76600,602,84.4
11:52:22,76600,5134,84.85
11:54:31,76700,1554,84.91
11:56:36,76700,1206,85.08
11:58:38,76700,3572,85.32
12:00:34,76600,1212,85.71
12:02:33,76600,1661,86.07
12:04:31,76600,292,86.03
12:06:26,76700,5210,86.02
12:08:27,76700,575,85.59
12:10:23,76600,2347,85.52
12:12:20,76600,780,85.45
12:14:20,76600,343,85.41
12:16:15,76600,1816,85.37
12:18:15,76600,627,85.4
12:20:13,76600,431,85.44
12:22:10,76600,321,85.47
12:24:10,76600,604,85.46
12:26:05,76600,418,85.37
12:28:09,76600,308,85.37
12:30:06,76600,274,85.39
12:32:05,76600,491,85.49
12:34:02,76600,9044,86.2
12:35:59,76600,4868,87.41
12:37:59,76600,3283,87.43
12:39:55,76500,1882,87.57
12:41:56,76500,1921,87.49
12:43:53,76600,1494,87.45
12:45:55,76600,359,87.54
12:47:51,76600,1029,87.65
12:49:53,76700,2122,87.76
12:51:50,76600,2129,87.9
12:53:50,76700,727,87.65
12:55:47,76600,655,87.53
12:57:48,76700,688,87.48
12:59:45,76700,3434,87.3
13:01:46,76700,799,87.27
13:03:43,76800,819,87.02
13:05:44,76700,992,87.0
13:07:41,76800,4146,86.93
13:09:43,76800,1081,87.19
13:11:40,76800,566,87.14
13:13:42,76900,937,87.01
13:15:39,76800,588,86.95
13:17:38,76800,891,86.88
13:19:38,76900,2561,87.17
13:21:35,76900,6348,86.85
13:23:36,76800,3571,86.38
13:25:32,76800,2428,86.52
13:27:33,76800,586,86.54
13:29:31,76800,1133,86.48
13:31:30,76800,3913,86.78
13:33:31,76600,5522,86.15
13:35:28,76700,1535,85.9
13:37:32,76600,1368,85.97
13:39:31,76600,1698,86.07
13:41:31,76600,1606,86.04
13:43:31,76700,4717,86.11
13:45:28,76600,1946,86.18
13:47:29,76700,1718,85.89
13:49:27,76600,1225,85.88
13:51:25,76700,4045,86.32
13:53:27,76700,1190,86.48
13:55:26,76600,2377,86.4
13:57:24,76600,1979,86.14
13:59:26,76700,1981,85.88
14:01:26,76700,4801,85.77
14:03:26,76700,3011,85.83
14:05:29,76600,2276,85.59
14:07:28,76700,2087,85.34
14:09:27,76600,3388,85.16
14:11:29,76600,1522,85.16
14:13:29,76600,1699,84.98
14:15:27,76600,1778,84.74
14:17:30,76700,2484,84.78
14:19:31,76600,3309,84.63
14:21:29,76600,1539,84.48
14:23:31,76700,3817,84.46
14:25:32,76700,2075,84.23
14:27:32,76700,1817,84.29
14:29:32,76700,1472,84.07
14:31:33,76700,1466,84.1
14:33:35,76700,1666,83.96
14:35:36,76700,1457,83.74
14:37:38,76700,1655,83.5
14:39:39,76800,2375,83.56
14:41:41,76800,1651,83.4
14:43:42,76700,2246,83.37
14:45:42,76700,1875,83.32
14:47:41,76700,5935,83.84
14:49:43,76900,7281,83.7
14:51:45,76700,4424,83.23
14:53:47,76800,2655,82.99
14:55:47,76800,2884,82.88
14:57:48,76800,2246,82.71
14:59:50,76800,2096,82.74
15:01:53,76800,1648,82.65
15:03:55,76800,1694,82.56
15:05:58,76900,1593,82.47
15:07:59,76800,3338,82.56
15:10:01,76800,4676,82.53
15:12:03,76900,2053,82.58
15:14:04,76800,6470,82.33
15:16:06,76800,2677,82.02
15:18:07,76900,24435,83.34
15:20:10,77000,1165,83.89
15:22:13,77000,0,83.89
15:24:15,77000,0,83.89
15:26:17,77000,0,83.89
15:28:19,77000,0,83.89
