시간,주가,순간거래량,체결강도
09:00:03,60800,0,117.56
09:04:14,61300,67700,115.49
09:06:20,61000,56957,108.85
09:08:26,60500,31361,108.91
09:10:37,60700,38443,104.81
09:12:43,61000,70713,102.81
09:14:50,61300,63874,98.72
09:16:55,61400,136207,98.94
09:19:03,61100,28803,98.06
09:21:09,61500,28362,97.76
09:23:15,61700,77544,98.27
09:25:21,61700,70502,96.36
09:27:26,61800,46991,93.62
09:29:32,61800,37838,92.87
09:31:38,61400,37259,90.95
09:33:42,61500,35881,90.63
09:35:45,61550,7810,91.2
09:37:52,61700,25559,92.47
09:39:58,61700,9940,92.39
09:42:07,61600,19221,93.55
09:44:12,61500,33117,92.56
09:46:19,61400,22875,92.58
09:48:25,61600,39448,93.61
09:50:27,61600,3697,93.26
09:52:30,61600,14207,94.07
09:54:32,61550,22050,94.39
09:56:38,61100,46125,94.96
09:58:48,61100,22149,94.05
10:00:55,61200,33409,93.79
10:03:01,61500,16000,93.66
10:05:07,61600,17702,94.44
10:07:11,61500,3048,94.46
10:09:15,61600,2779,94.42
10:11:19,61600,7675,94.07
10:13:25,61400,21079,93.99
10:15:32,61400,11506,94.09
10:17:44,61500,13649,93.93
10:19:48,61400,10162,94.12
10:21:53,61500,2162,94.04
10:23:57,61400,5748,93.83
10:26:03,61500,3136,93.83
10:28:08,61500,8343,93.69
10:30:15,61500,2754,93.32
10:32:23,61800,80398,94.09
10:34:27,61800,36843,95.04
10:36:31,61700,13523,95.02
10:38:36,61700,9903,94.9
10:40:39,61700,12748,94.94
10:42:48,61700,10216,94.46
10:44:56,61700,18258,94.31
10:47:02,61600,12690,94.71
10:49:09,61600,14220,94.65
10:51:12,61700,4455,94.04
10:53:15,61650,1638,94.02
10:55:16,61600,16044,94.08
10:57:17,61600,1616,93.88
10:59:18,61700,6250,93.9
11:01:18,61500,12069,94.0
11:03:19,61500,6265,94.16
11:05:20,61500,10143,94.13
11:07:21,61400,11835,94.25
11:09:22,61400,3373,94.18
11:11:22,61300,14097,93.97
11:13:25,61500,16299,93.95
11:15:28,61400,9268,94.51
